"postal_cd","service_provider_2015","service_provider_2016","same"
"AK","Alaska Comm","GCI Comm",1
"AK","GCI Comm","Alaska Comm",1
"AR","AireArk Inc","AT&T",1
"AR","Fidelity","E. Ritter",1
"AZ","Citizens Utilities","Frontier",1
"AZ","Citizens Utilities","Wecom, Inc.",1
"AZ","Copper Valley","Valley",1
"AZ","Mercury","Suddenlink Communications",1
"CA","Happy Valley","Trinity County",1
"CA","High Wire Ops, Inc.","AT&T",1
"CO","Comcast","Affiniti",1
"CO","EAGLE-Net Alliance","Cablevision",1
"CO","EAGLE-Net Alliance","CenturyLink",1
"CO","EAGLE-Net Alliance","Colorado Fiber Community LLC",1
"CO","EAGLE-Net Alliance","Zayo Group, LLC",1
"CT","Connecticut Education Network","Charter",1
"CT","Connecticut Education Network","Dept of Admin Services, CT",1
"CT","Fiber Optic LLC","Dept of Admin Services, CT",1
"FL","AT&T","State Replacement ",1
"KS","IdeaTek Systems","Zayo Group, LLC",1
"KS","KanOkla","KanOkla Telephone Association",1
"KS","United Comm","United Wireless",1
"KY","District Owned","AT&T",1
"ME","District Owned","Maine Fiber Company",1
"ME","Northern New England","Maine Fiber Company",1
"ME","Northern New England","Time Warner Cable",1
"ME","Time Warner Cable","Northern New England",1
"TX","Affiniti","Peoples Comm",1
"VT","Comcast","VT Tele Operating Co",1
"WI","AT&T","WiscNet",1
"TX","AirCanopy","Rhino Communications",1
"ID","CTC","EarthLink",1
"NH","G4 Communications","SegTEL, Inc.",1
"FL","GTC, Inc.","Fairpoint",1
"OK","Mid-America Tele","TDS Telecom",1
"OK","OK Comm Systems","TDS Telecom",1
"WI","Spectrum Charter Business","Charter",1
"KS","Sunflower","Fairpoint",1
"TX","Tim Ron Enterprises","Network Communications",1
"CO","TW Telecom Holdings","Level 3",1
"AR","TCA Communications","Suddenlink",1
"CT","Connecticut Education Network","Connecticut Education Network",1
"IA","Heart of Iowa","Heart of Iowa Communications Cooperative",1
"ID","Direct Comm","Direct Communications Cable, LLC",1
"ID","ENA Services, LLC","Ed Net of America",1
"IL","Frontier","Frontier Communications Online and Long Distance, Inc.",1
"IL","L.R. Communications","LR Communications",1
"IL","Mediacom","MCC Telephony",1
"IN","TW Telecom Holdings","Level 3",1
"KS","Nex-Tech, Inc.","Rural Tele Serv",1
"KS","S&T Comm","S&T Tele Coop",1
"KS","SC Tele Asso","SC Wireless",1
"KS","SKT, Inc.","Southern Kansas",1
"LA","Hunt Brothers","Hunt Telecomm",1
"LA","Hunt Telecomm","Hunt Brothers",1
"MO","Kingdom Telephone","Kingdom Tele",1
"MT","Cablevision","Charter",1
"MT","Central Montana Comm","Triangle Tele",1
"MT","Mountain Digital","MtnMax",1
"MT","Charter Advanced Services (MT), LLC","Charter",1
"MT","NEMONT COMM","NEMONT TELEPHONE COOPERATIVE, INC.",1
"MT","One Eighty Comm","Integra Telecom",1
"NE","Unite Private Networks","Unite Private",1
"NH","G4 Communications","SegTEL, Inc.",1
"NH","Sovernet Comm","Sovernet, Inc.",1
"NM","ENMR Tele Coop","Plateau Telecomm",1
"OK","OK Comm Systems","TDS Telecom",1
"OK","Panhandle Telecomm","Panhandle Tele Coop",1
"OR","County of Clackamas","County Owned",1
"TX","Peoples Tele Coop","Peoples Comm",1
"TX","PHONOSCOPE LIGHT","Phonoscope Ent",1
"MT","One Eighty Comm","Integra Telecom",1
"WI","Spectrum Charter Business","Charter",1
"KS","Sunflower","Fairpoint",1
"TX","Tim Ron Enterprises","Network Communications",1
"IN","TW Telecom Holdings","Level 3",1
"TX","TW Telecom Holdings","Level 3",1
"IL","Illinois Century","AT&T",1
"MO","CenturyLink","Missouri Network",1
"OH","SC OH Comp","Metropolitan Ed",1
"PA","Sunesys, LLC","DQE Comm",1
"SD","South Dakota Network","Midcontinent",1
"TX","AT&T","Region 5 Education Service Center",1
