"service_provider","num_students_not_meeting_goal","num_students_meeting_goal","num_students_not_meeting_goal_but_sp_meeting_goal","num_districts_served","num_students_dirty","percentage_students_not_meeting_goal_nationally","percentage_students_meeting_goal_nationally","percentage_students_not_meeting_goal_of_all_served","percentage_students_meeting_goal_of_all_served","extrapolated_additional_students_not_meeting","extrapolated_num_students_not_meeting_goal","extrapolated_additional_students_meeting","extrapolated_num_students_meeting_goal","extrapolated_percentage","number_districts_not_meeting_goals","total_bw_needed_to_make_meeting_goals_mbps","mean_bw_needed_to_make_meeting_goals_mbps","weighted_avg_cost_per_mbps_meeting_goals","weighted_avg_cost_per_mbps_not_meeting_goals","weighted_avg_cost_per_mbps_all"
"AT&T",1134896,4508708,27936,1127,672753,13,17,20,80,135287,1270183,537466,5046174,20,132,43777.94,384.01701754386,2.89047280264631,3.82027831979026,2.9321451978604
"Charter",744566,2392293,42913,662,443907,8,9,24,76,105366,849932,338541,2730834,24,75,27585.056,431.0165,2.17133006947828,4.90050077103424,2.27791893968647
"CenturyLink",723815,858507,98164,338,187256,8,3,46,54,85658,809473,101598,960105,46,57,26303.456,478.244654545455,3.47435928604413,4.67803158522808,3.43971948224212
"Cox",573173,1148254,20917,172,58079,6,4,33,67,19338,592511,38741,1186995,33,41,19297.756,521.560972972973,2.13092894819862,5.31740010978833,2.39160234261835
"Comcast",545476,2006921,26519,665,531809,6,7,21,79,113654,659130,418155,2425076,21,75,18089.512,247.801534246575,2.16271456964244,5.78405783963975,2.26918187362177
"Level 3",351818,81705,0,16,4133,4,0,81,19,3354,355172,779,82484,81,5,12181.8,2436.36,3.95077915057915,2.06774217391304,2.7460545201669
"ENA Services, LLC",320154,1285095,0,353,56448,4,5,20,80,11258,331412,45190,1330285,20,26,9170.4,352.707692307692,8.62130971805717,8.5039334681951,8.61484772063555
"Windstream",257738,324511,0,197,124512,3,1,44,56,55116,312854,69396,393907,44,25,6040.904,241.63616,6.16995221817172,5.47442391099836,6.05004413580335
"Sunesys, LLC",182384,380382,11980,66,102723,2,1,32,68,33291,215675,69432,449814,32,11,9738.4,1082.04444444444,0.715866883518863,1.97869058823529,0.789704795467289
"Cogent",137802,237703,0,29,70802,2,1,37,63,25983,163785,44819,282522,37,6,1852.112,308.685333333333,2.29604862579281,2.27669064748201,2.29356866359447
"Computer Sciences",126037,355919,0,112,39172,1,1,26,74,10244,136281,28928,384847,26,9,2553.7,283.744444444444,6.96048633802817,5.20482538071066,6.74659319727891
"Frontier",104717,243571,0,128,7467,1,1,30,70,2245,106962,5222,248793,30,21,6717.116,319.862666666667,2.38465789935754,12.3984744933096,2.70718488387974
"PHONOSCOPE LIGHT",90357,290869,0,13,29478,1,1,24,76,6987,97344,22491,313360,24,5,2285.7,457.14,1.04034582132565,3.46769230769231,1.42330097087379
"Zayo Group, LLC",74467,575731,0,55,93911,1,2,11,89,10756,85223,83155,658886,11,3,2436.7,812.233333333333,0.753330632212997,2.71659081836327,0.789444354979236
"Grande Comm",65560,92109,0,10,0,1,0,42,58,0,65560,0,92109,42,3,2456,818.666666666667,1.74633027522936,5.10365853658537,2.27779922779923
"Hunt Telecomm",59406,82935,0,8,5074,1,0,42,58,2118,61524,2956,85891,42,2,2940.6,1470.3,2.75666666666667,7.34666666666667,3.17393939393939
"Cebridge",58350,87476,0,43,9059,1,0,40,60,3625,61975,5434,92910,40,9,1585,176.111111111111,4.48909741912593,5.80316235294118,4.6547440443288
"Southern Light, LLC",57577,36733,0,3,0,1,0,61,39,0,57577,0,36733,61,1,2747.7,2747.7,6.174002,12.2796,8.46360125
"Verizon",57256,229016,14095,101,55131,1,1,20,80,11027,68283,44104,273120,20,15,2568.04,183.431428571429,2.78930746108438,12.7631258538886,2.91232536121124
"Cablevision",57120,416410,28056,157,122413,1,2,12,88,14766,71886,107647,524057,12,19,2732,160.705882352941,2.77367178154295,16.7425268456376,2.71552547525591
