"locales_and_models","total_funding","erate_funding","district_portion","students_meeting_goals_extrap","total_funding_per_student","erate_funding_per_student","district_portion_per_student","districts_meeting"
"Rural-Today",627312588.36788,484134443.578233,143178144.789647,6007191.77702696,90.9964613731008,70.2273826659112,20.7690787071896,0.916956824512535
"Suburban-Today",1072244420.79115,698680584.367097,373563836.424055,14447906.6030641,53.3950234329881,34.79250201827,18.602521414718,0.8414585810543
"Town-Today",372030991.364662,288673792.104046,83357199.2606162,4609110.18246987,69.1881266261644,53.6858470002371,15.5022796259273,0.872081712062257
"Urban-Today",787954375.56015,610111283.592158,177843091.967992,9758383.92823897,55.9447370001469,43.3178828115788,12.6268541885681,0.783018867924528
"Rural-Pai_OOP",440600731.342179,330450548.506635,110150182.835545,4825928.06260849,63.9124866517527,47.9343649888146,15.9781216629382,0.670056100981767
"Suburban-Pai_OOP",770777906.41901,578083429.814258,192694476.604753,13478827.8053653,38.3827638333673,28.7870728750255,9.59569095834183,0.685657370517928
"Town-Pai_OOP",302153338.657201,226615003.992901,75538334.6643002,3757131.9376391,56.1926934604257,42.1445200953193,14.0481733651064,0.715124816446402
"Urban-Pai_OOP",537171408.735733,402878556.5518,134292852.183933,7211598.80146683,38.139153887375,28.6043654155312,9.53478847184374,0.620634920634921
"Rural-Keep_BW",627312588.36788,366074747.359785,261237841.008095,6027328.45088376,90.9964613731008,53.101925938488,37.8945354346129,0.917952314165498
"Suburban-Keep_BW",1072244420.79115,648703754.438579,423540666.352573,14439380.4528047,53.3950234329881,32.3037840045445,21.0912394284436,0.841434262948207
"Town-Keep_BW",372030991.364662,260801549.058655,111229442.306007,4610823.38692963,69.1881266261644,48.5023318470883,20.6857947790761,0.872246696035242
"Urban-Keep_BW",787954375.56015,515675427.377889,272278948.182262,9705632.69990836,55.9447370001469,36.6129398565565,19.3317971435904,0.780952380952381
"Rural-Same_OOP",473628693.296282,330450548.506635,143178144.789647,5117801.0734954,68.7034436960042,47.9343649888145,20.7690787071896,0.785063113604488
"Suburban-Same_OOP",951647266.238312,578083429.814258,373563836.424055,14336235.2508236,47.3895942897435,28.7870728750255,18.602521414718,0.80199203187251
"Town-Same_OOP",309972203.253517,226615003.992901,83357199.2606162,3834170.97488679,57.6467997212466,42.1445200953193,15.5022796259273,0.743514439549682
"Urban-Same_OOP",580721648.519792,402878556.5518,177843091.967992,7323978.66769637,41.2312196040994,28.6043654155312,12.6268541885681,0.646031746031746
